epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1074,0.68809,1.70114,0.9245,0.64256,0.65518,0.67312,0.59095,0.46454,0.98175,0.81337,0.00033179,0.00033179,0.00033179
2,122.38,0.64088,1.12662,0.89108,0.64871,0.66479,0.66496,0.58337,0.46906,0.99468,0.81901,0.000658539,0.000658539,0.000658539
3,160.676,0.64522,1.07166,0.89078,0.74149,0.62393,0.69705,0.61015,0.4706,0.9189,0.81805,0.000978687,0.000978687,0.000978687
4,200.966,0.6298,1.04192,0.88765,0.7386,0.6687,0.7347,0.65142,0.45045,0.82202,0.81068,0.0009703,0.0009703,0.0009703
5,241.653,0.61453,0.9284,0.88081,0.77691,0.65036,0.75058,0.67126,0.43771,0.74557,0.80822,0.0009604,0.0009604,0.0009604
6,279.496,0.60454,0.88627,0.87617,0.79597,0.6974,0.78834,0.70688,0.44094,0.68819,0.80304,0.0009505,0.0009505,0.0009505
7,319.975,0.58996,0.83523,0.87499,0.79728,0.70052,0.78695,0.70613,0.41964,0.70232,0.80393,0.0009406,0.0009406,0.0009406
8,360.946,0.56954,0.79098,0.86756,0.81949,0.72325,0.80698,0.72928,0.41069,0.64506,0.80189,0.0009307,0.0009307,0.0009307
9,402.253,0.57106,0.76118,0.8682,0.83267,0.72638,0.82449,0.74643,0.41472,0.61113,0.80005,0.0009208,0.0009208,0.0009208
10,442.254,0.57162,0.78099,0.86237,0.80103,0.75327,0.81839,0.73841,0.42742,0.60706,0.80048,0.0009109,0.0009109,0.0009109
11,480.447,0.5558,0.75546,0.86273,0.84447,0.74905,0.83961,0.7696,0.39337,0.54866,0.79663,0.000901,0.000901,0.000901
12,521.165,0.54831,0.6947,0.86298,0.85089,0.7689,0.85292,0.77294,0.39862,0.52996,0.79796,0.0008911,0.0008911,0.0008911
13,561.03,0.54549,0.71621,0.86412,0.8307,0.76057,0.84038,0.76494,0.39368,0.54992,0.79794,0.0008812,0.0008812,0.0008812
14,600.287,0.54395,0.68128,0.86122,0.86523,0.7758,0.86221,0.78749,0.39029,0.49523,0.79357,0.0008713,0.0008713,0.0008713
15,640.152,0.53418,0.68574,0.86016,0.87087,0.78017,0.86317,0.79388,0.36868,0.48538,0.79105,0.0008614,0.0008614,0.0008614
16,679.672,0.53115,0.64176,0.85411,0.88705,0.76862,0.87283,0.79689,0.3988,0.47377,0.79405,0.0008515,0.0008515,0.0008515
17,718.824,0.54132,0.63303,0.85993,0.87636,0.78994,0.87572,0.81125,0.36261,0.46428,0.78954,0.0008416,0.0008416,0.0008416
18,759.014,0.52967,0.63417,0.855,0.85888,0.78488,0.87253,0.80387,0.37641,0.4592,0.78934,0.0008317,0.0008317,0.0008317
19,798.704,0.5182,0.59563,0.85067,0.89077,0.78639,0.87618,0.80197,0.38399,0.4461,0.79047,0.0008218,0.0008218,0.0008218
20,835.379,0.51837,0.57869,0.85291,0.88105,0.80555,0.88511,0.81718,0.36557,0.42677,0.78801,0.0008119,0.0008119,0.0008119
21,874.451,0.52279,0.56718,0.85461,0.90397,0.80213,0.88918,0.82201,0.35727,0.40469,0.78689,0.000802,0.000802,0.000802
22,913.12,0.51397,0.54431,0.85112,0.90798,0.81961,0.89714,0.8278,0.37528,0.39044,0.78875,0.0007921,0.0007921,0.0007921
23,953.968,0.5168,0.57745,0.8523,0.89274,0.81113,0.88916,0.82439,0.36801,0.3984,0.78718,0.0007822,0.0007822,0.0007822
24,991.751,0.50916,0.56553,0.8529,0.89744,0.81732,0.89255,0.8242,0.36998,0.4032,0.78854,0.0007723,0.0007723,0.0007723
25,1030.25,0.49483,0.54153,0.84844,0.88166,0.81771,0.89208,0.82725,0.35862,0.40229,0.78648,0.0007624,0.0007624,0.0007624
26,1069.19,0.50238,0.55016,0.84884,0.88704,0.80761,0.88907,0.8224,0.36428,0.42416,0.78777,0.0007525,0.0007525,0.0007525
27,1112.75,0.50709,0.53511,0.85098,0.89273,0.82948,0.8996,0.83295,0.35462,0.39591,0.78628,0.0007426,0.0007426,0.0007426
28,1157.4,0.50682,0.54325,0.85167,0.89775,0.82175,0.90407,0.83835,0.35885,0.38438,0.78592,0.0007327,0.0007327,0.0007327
29,1196.65,0.49659,0.51376,0.84593,0.89495,0.83198,0.90784,0.84012,0.35594,0.36437,0.78744,0.0007228,0.0007228,0.0007228
30,1239.43,0.48646,0.49572,0.84801,0.9133,0.82287,0.90225,0.83747,0.35672,0.36948,0.78494,0.0007129,0.0007129,0.0007129
31,1278.85,0.48813,0.49774,0.8481,0.90916,0.83836,0.90856,0.84239,0.356,0.36855,0.7862,0.000703,0.000703,0.000703
32,1317.32,0.4927,0.49599,0.84518,0.89795,0.81777,0.90381,0.84206,0.34993,0.38562,0.78585,0.0006931,0.0006931,0.0006931
33,1357.65,0.48663,0.49298,0.84516,0.92103,0.82972,0.91519,0.85317,0.34374,0.36129,0.78384,0.0006832,0.0006832,0.0006832
34,1395.85,0.48488,0.47996,0.84204,0.92934,0.8291,0.91272,0.85067,0.3453,0.34751,0.78282,0.0006733,0.0006733,0.0006733
35,1432.91,0.48997,0.48535,0.84335,0.91009,0.83035,0.91541,0.85377,0.34121,0.35073,0.78302,0.0006634,0.0006634,0.0006634
36,1472.65,0.47484,0.46664,0.84142,0.92672,0.8444,0.92066,0.85815,0.34029,0.33873,0.78372,0.0006535,0.0006535,0.0006535
37,1509.5,0.48213,0.45867,0.84074,0.92538,0.84954,0.92695,0.86825,0.33089,0.3271,0.78057,0.0006436,0.0006436,0.0006436
38,1548.42,0.47859,0.45489,0.84079,0.91869,0.84208,0.92327,0.86175,0.34303,0.33433,0.78266,0.0006337,0.0006337,0.0006337
39,1586.33,0.47222,0.44064,0.84026,0.92875,0.844,0.91705,0.85851,0.33022,0.3316,0.78163,0.0006238,0.0006238,0.0006238
40,1628.33,0.47266,0.44178,0.84153,0.92252,0.85822,0.9284,0.86909,0.33257,0.31489,0.78092,0.0006139,0.0006139,0.0006139
41,1668.69,0.47312,0.45432,0.84293,0.91072,0.85126,0.91737,0.85881,0.33285,0.32858,0.78211,0.000604,0.000604,0.000604
42,1710.86,0.46416,0.44687,0.84018,0.92066,0.85838,0.92519,0.86341,0.32593,0.31807,0.78049,0.0005941,0.0005941,0.0005941
43,1750.64,0.46552,0.43236,0.84098,0.9199,0.84674,0.9178,0.85536,0.3394,0.33181,0.78262,0.0005842,0.0005842,0.0005842
44,1788.8,0.46908,0.43523,0.83844,0.92173,0.84056,0.92244,0.86214,0.3293,0.32882,0.78138,0.0005743,0.0005743,0.0005743
45,1827.76,0.46738,0.43424,0.83919,0.93535,0.85031,0.9262,0.86683,0.33482,0.31236,0.7816,0.0005644,0.0005644,0.0005644
